Utility_ID,Electric_Utility,State
445,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
446,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
447,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
448,PUGET SOUND ENERGY INC,Unknown
449,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
450,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
451,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
452,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
453,PUGET SOUND ENERGY INC,Unknown
454,PUGET SOUND ENERGY INC,Unknown
455,PUGET SOUND ENERGY INC,Unknown
456,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
457,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
458,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
459,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
460,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
461,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
462,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
463,PUGET SOUND ENERGY INC,Unknown
464,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
465,PUGET SOUND ENERGY INC,Unknown
466,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
467,PUGET SOUND ENERGY INC,Unknown
468,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
469,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
470,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
471,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
472,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
473,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
474,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
